site name,site_num,heat_island,micro_hab,uhii_year,avg_humidity,sample_id,sample_lat,sample_long,moss_pres,morpho_pres,Canopy cover directions,,,,can_cov,growth_sub,dist_walk_m,dist_road_m,dist_water_m,direc_found,num_col,water_pres,moss_area_m2,NOTES
"strathern st, pasadena",15,1,residential,761.49,,15.1,34.215833,-118.371944,1,1,94,59,51,76,27.08,dirt,0,1.23,NR,center,14,1,0.074,
,,,,,,15.2,34.215556,-118.371944,1,2,16,85,48,60,45.57,dirt,1.1,0.1,NR,west,40,1,0.012,
,,,,,,15.3,34.215833,-118.372222,1,2,64,85,57,72,27.6,dirt,1.1,0.1,NR,north,31,1,0.0412,
la cañada teepee,16,4,greenspace,33134.6,,16.1,34.224444,-118.195833,1,4,47,34,66,9,59.38,"rock, dirt",2.4,NR,NR,east,65,0,0.05,
,,,,,,16.2,34.224444,-118.195833,1,5,4,5,4,3,95.83,"rock, dirt",2.7,NR,NR,north,74,0,0.029,
,,,,,,16.3,34.223333,-118.196389,0,0,11,2,12,8,91.41,dirt,0,NR,NR,center,23,0,0,
,,,,,,16.3x,34.224167,-118.195833,1,4,14,3,37,24,79.69,dirt,0,NR,NR,north ,23,0,0.006,
"foothill blvd, la verne",17,4,urban,27998.2,,17.1,34.11083333,-117.7630556,1,1,76,96,94,95,5.99,dirt,5.7,0.13,NR,center,11,0,0.048,
,,,,,,17.2,34.11138889,-117.7633333,1,1,4,39,70,27,63.54,dirt,5,0.62,NR,south,7,0,0.003,
,,,,,,17.3,34.11111111,-117.7633333,0,0,93,94,96,96,1.3,"dirt, concrete",5.5,0,NR,center,5,0,0,
,,,,,,17.3x,34.11083333,-117.7630556,1,1,96,88,92,84,6.25,dirt,6,0,NR,west,5,0,7.87E-04,
"los encinos park, la verne",18,4,greenspace,30834.8,,18.1,34.12694444,-117.7838889,1,1,21,47,88,82,38.02,dirt,0,NR,NR,south,27,0,0.014,
